S114372D	f	\N	College and Career Readiness Anchor Standards for Reading	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	D10003FC	{S1143769,S114376A,S114376B,S114376C}	D10003FC
S1143769	f	\N	Key Ideas and Details	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114372D	{S114376D,S114376E,S114376F}	D10003FC
S114376A	f	\N	Craft and Structure	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114372D	{S1143770,S1143771,S1143772}	D10003FC
S114376B	f	\N	Integration of Knowledge and Ideas	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114372D	{S1143773,S1143774,S1143775}	D10003FC
S114376C	f	\N	Range of Reading and Level of Text Complexity	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114372D	{S1143776}	D10003FC
S11436A5	f	\N	Reading Standards for Literature	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	D10003FC	{S11436AE,S11436AF,S11436B0,S11436B1}	D10003FC
S11436AE	f	\N	Key Ideas and Details	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S11436A5	{S11436B2,S11436B3,S11436B4,S11436B5,S11436B6,S11436B7,S11436B8,S11436B9,S11436BA,S11436BB,S11436BC,S11436BD,S11436BE,S11436BF,S11436C0,S11436C1,S11436C2,S11436C3,S1143777,S1143778,S1143779,S114377A,S114377B,S114377C,S114377D,S114377E,S114377F,S1143780,S1143781,S1143782,S1143783,S1143784,S1143785}	D10003FC
S11436AF	f	\N	Craft and Structure	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S11436A5	{S11436C4,S11436C5,S11436C6,S11436C7,S11436C8,S11436C9,S11436CA,S11436CB,S11436CC,S11436CD,S11436CE,S11436CF,S11436D0,S11436D1,S11436D2,S11436D3,S11436D4,S11436D5,S1143786,S1143787,S1143788,S1143789,S114378A,S114378B,S114378C,S114378D,S114378E,S114378F,S1143790,S1143791,S1143792,S1143793,S1143794}	D10003FC
S11436B0	f	\N	Integration of Knowledge and Ideas	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S11436A5	{S11436D6,S11436D7,S11436D8,S11436D9,S11436DA,S11436DB,S11436DC,S11436DD,S11436DE,S11436DF,S11436E0,S11436E1,S11436E2,S1143795,S1143796,S1143797,S1143798,S1143799,S114379A,S114379B,S114379C,S114379D,S114379E}	D10003FC
S11436D7	f	\N	(Not applicable to literature)	\N	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S11436B0	{}	\N
S11436B1	f	\N	Range of Reading and Level of Text Complexity	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S11436A5	{S11436E3,S11436E4,S11436E5,S11436E6,S11436E7,S11436E8,S114379F,S2363567,S11437A0,S11437A1,S11437A2}	D10003FC
S11436A6	f	\N	Reading Standards for Informational Text	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	D10003FC	{S11436E9,S11436EA,S11436EB,S11436EC}	D10003FC
