S114376D	CCSS.ELA-Literacy.CCRA.R.1	1.	CCR.R.1	*.CCR.R.1	CCSS.ELA.*.CCR.R.1	t	Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S1143769	D10003FC
S114376E	CCSS.ELA-Literacy.CCRA.R.2	2.	CCR.R.2	*.CCR.R.2	CCSS.ELA.*.CCR.R.2	t	Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S1143769	D10003FC
S114376F	CCSS.ELA-Literacy.CCRA.R.3	3.	CCR.R.3	*.CCR.R.3	CCSS.ELA.*.CCR.R.3	t	Analyze how and why individuals, events, and ideas develop and interact over the course of a text.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S1143769	D10003FC
S1143770	CCSS.ELA-Literacy.CCRA.R.4	4.	CCR.R.4	*.CCR.R.4	CCSS.ELA.*.CCR.R.4	t	Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114376A	D10003FC
S1143771	CCSS.ELA-Literacy.CCRA.R.5	5.	CCR.R.5	*.CCR.R.5	CCSS.ELA.*.CCR.R.5	t	Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114376A	D10003FC
S1143772	CCSS.ELA-Literacy.CCRA.R.6	6.	CCR.R.6	*.CCR.R.6	CCSS.ELA.*.CCR.R.6	t	Assess how point of view or purpose shapes the content and style of a text.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114376A	D10003FC
S1143773	CCSS.ELA-Literacy.CCRA.R.7	7.	CCR.R.7	*.CCR.R.7	CCSS.ELA.*.CCR.R.7	t	Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114376B	D10003FC
S1143774	CCSS.ELA-Literacy.CCRA.R.8	8.	CCR.R.8	*.CCR.R.8	CCSS.ELA.*.CCR.R.8	t	Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114376B	D10003FC
S1143775	CCSS.ELA-Literacy.CCRA.R.9	9.	CCR.R.9	*.CCR.R.9	CCSS.ELA.*.CCR.R.9	t	Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114376B	D10003FC
S1143776	CCSS.ELA-Literacy.CCRA.R.10	10.	CCR.R.10	*.CCR.R.10	CCSS.ELA.*.CCR.R.10	t	Read and comprehend complex literary and informational texts independently and proficiently.	English	CCSS	{K,1,2,3,4,5,6,7,8,9,10,11,12}	S114376C	D10003FC
